start,duration,text,valence,arousal
173.9,5.1,an upset tummy how do we bring a moral,1,0
176.9,6.15,dilemma to this situation let's find out,1,0
179.0,6.27,I'll make it up on the spot what happens,1,0
183.05,4.41,what happens to our tribe how do we,1,0
185.27,4.59,there's no stopping these people from,1,0
187.46,5.58,growing and expanding all these lands,1,0
189.86,4.95,lost forever guys have a plan let's head,1,0
193.04,4.14,down this path may be using the cart for,1,0
194.81,4.67,now head into town and go to the mayor's,1,0
197.18,5.82,house sounds good to me,1,0
199.48,5.17,this was your camp Wow you guys went,1,0
203.0,3.69,down slaughtered some pools down here,1,0
204.65,4.44,and then went to this trading post in,1,0
206.69,4.05,the tavern which is down there the,1,0
209.09,4.23,mayor's house is right here oh it's so,1,0
210.74,7.23,plus it's so convenient so you guys,1,0
213.32,8.01,decided to rest a full day and come back,1,0
217.97,5.79,here during the next day you guys have,1,0
221.33,4.49,healed your wounds you've you've clearly,1,0
223.76,6.21,thought about a really great plan and,1,0
225.82,7.27,you see you see a very large half wooden,1,0
229.97,6.0,half stone mansion up on the side of the,1,0
233.09,7.74,hill and lo and behold you see two,1,0
235.97,6.72,people walking up along the path so they,1,0
240.83,4.08,are they look like noblemen and a,1,0
242.69,4.5,noblewoman and they are they're walking,1,0
244.91,4.08,up the path ok let's leave the carriage,1,0
247.19,3.21,here let's do let's get off and let's,1,0
248.99,3.49,let's roll people oh you guys are in an,1,0
250.4,5.14,intersection and,1,0
252.48,5.4,another carriage comes around the,1,0
255.54,3.06,intersection starts going after to the,1,0
257.88,3.419,house as well,1,0
258.6,4.92,yeah McCall and salmon say excuse me the,1,0
261.299,3.511,carriage comes to a halt the driver on,1,0
263.52,4.17,the top of the carriage turns and looks,1,0
264.81,3.72,at you is like eight yes what is it you,1,0
267.69,2.34,need something,1,0
268.53,3.36,excuse me were that we're into these,1,0
270.03,3.75,boxes this is the direction that we is,1,0
271.89,2.61,this the direction of the mayor's house,1,0
273.78,3.48,yeah,1,0
274.5,8.82,yes of course it is it's the webson he,1,0
277.26,7.02,was going didn't suspect a thing and we,1,0
283.32,4.26,need you a cell for all from this,1,0
284.28,5.72,distance say good night si nineteen,1,0
287.58,6.48,sixteen plus three sweet let's work,1,0
290.0,7.18,these two guests keep walking up regards,1,0
294.06,4.86,turn to greet them hear their muffled,1,0
297.18,4.23,voices in the distance discussing,1,0
298.92,4.85,something the man opens the door for the,1,0
301.41,2.36,woman down,1,0
309.23,9.16,so we have to do stealth tracks a great,0,0
314.97,6.63,film where I did my critical film as,0,0
318.39,5.31,well we both quit Phil do you because,0,0
321.6,6.39,you do tactical slides into cover and,0,0
323.7,6.18,what happens is your sword falls out,0,0
327.99,4.41,sounds just like or you know again in,0,0
329.88,6.06,Clips the base of this tree which sends,0,0
332.4,5.55,it falling over in the woods to baboon,0,0
335.94,4.29,alright I immediately turn around and,0,0
337.95,3.48,run away to the forest okay yeah I'm,0,0
340.23,2.94,gonna immediately lay on the ground and,0,0
341.43,4.05,start crawling backwards and this move,0,0
343.17,3.39,back was bearable I got 19 they're gonna,0,0
345.48,2.49,wonder what happened will you come with,0,0
346.56,2.73,a good story for how that tree haven't,0,0
347.97,2.64,maybe we could lure the guards company,0,0
349.29,1.83,that's that's completely out of the,0,0
350.61,2.85,ordinary,0,0
351.12,3.72,maybe this complete failure this I mean,0,0
353.46,4.05,I know we both clumsily knocked that,0,0
354.84,5.1,tree over you through the trees you see,0,0
357.51,4.47,a man peering he's looking through,0,0
359.94,5.52,through the branches kind of see what,0,0
361.98,6.45,was there here help help help call him,0,0
365.46,5.31,over to me while you slip away just hide,0,0
368.43,4.98,when it comes up just strangle me,0,0
370.77,4.17,gotcha okay fun hi late I lay next to,0,0
373.41,6.75,the tree and put put my leg under I go,0,0
374.94,8.33,help me help help it's really convincing,0,0
380.16,6.42,yeah there's someone over here here I,0,0
383.27,5.14,keep making mysterious noises I go,0,0
386.58,3.0,Carmichael's gonna wait over there I'm,0,0
388.41,1.62,hiding the butcher's yeah hide in the,0,0
389.58,4.32,bushes,0,0
390.03,6.06,this guard comes into viewing a range of,0,0
393.9,5.34,everyone he's rolling an investigation,0,0
396.09,6.27,check if you are trying to conceal your,0,0
399.24,5.37,identity that of a barbarian you have to,0,0
402.36,4.11,roll deception check against it now I am,0,0
404.61,5.45,wearing the guards clothes great you,0,0
406.47,5.93,have a bonus to that okay so deception,0,0
410.06,6.27,roll big sign,0,0
412.4,7.53,ah for right what are you doing in there,0,0
416.33,5.88,is glue I'm gonna catch the spell I go,0,0
419.93,3.87,it's my brother Bell I'm everything my,0,0
422.21,3.9,brothers all my life saying that I'm,0,0
423.8,6.33,casting a spell guessing charm personnel,0,0
426.11,7.71,please help me okay it's just a spell up,0,0
430.13,6.99,in his brain I use charm,0,0
433.82,4.62,tell me defects cool charm person you,0,0
437.12,2.46,attempt to charm a humanoid you can see,0,0
438.44,2.16,within range and let's make a wisdom,0,0
439.58,2.64,saving through and does so with,0,0
440.6,3.24,advantage if you or your companions are,0,0
442.22,3.0,fighting it if it fails the saving,0,0
443.84,3.72,throat is charmed by you until the spell,0,0
445.22,3.78,ends which will be one hour or until you,0,0
447.56,3.15,or your companions do anything harmful,0,0
449.0,4.47,to it the charm creature regards you as,0,0
450.71,5.85,a friendly acquaintances your brother's,0,0
453.47,7.44,your brother's armor my brothers all my,0,0
456.56,5.79,brother oh you looked familiar but not,0,0
460.91,4.41,in that way but I suppose that makes,0,0
462.35,5.76,sense right it's a little confusing at,0,0
465.32,4.74,night I know oh please please help me,0,0
468.11,3.3,the street collapsed on my leg I just,0,0
470.06,5.04,must get back home,0,0
471.41,6.479,oh god this potato stew waiting and he,0,0
475.1,5.789,so he turns in his like oh just some,0,0
477.889,8.46,poor lad from up the hill Krusty's leg,0,0
480.889,6.84,in a tree and the other guys like wait,0,0
486.349,4.171,wait wait we're back your any friends,0,0
487.729,5.19,okay and he's like eight starts coming,0,0
490.52,4.23,over to who's gonna help he's gonna help,0,0
492.919,5.911,you oh oh thank you,0,0
494.75,6.84,thank you so you pulls you out and you,0,0
498.83,4.53,know it I behind him I'm gonna sneak up,0,0
501.59,6.27,behind him all he's doing this as I see,0,0
503.36,8.58,Brent sneaking up like oh my leg could,0,0
507.86,5.88,you press make it up with 12 please yeah,0,0
511.94,4.32,pressure on on the below the thigh,0,0
513.74,4.83,please yeah all right I'm gonna strangle,0,1
516.26,4.649,him from behind you did right you're,0,1
518.57,3.93,gonna grapple him yep with my angry two,0,1
520.909,3.811,mitts all right do it,0,1
522.5,4.76,roll roll me a string Jack Jack yes no,0,1
524.72,2.54,strength check,0,1
528.98,5.109,all right so what happens is you roll up,0,1
531.899,6.81,behind them and you put your arms around,0,1
534.089,7.261,him and he's like what the heck,0,1
538.709,4.711,group any whips his arms apart you don't,0,1
541.35,3.539,get him so he takes his sword out holds,0,1
543.42,5.099,it to your just wrote a chain is just,0,1
544.889,5.43,like who are you wanna get off me what,0,1
548.519,6.081,are you doing to my what are you doing,0,1
550.319,10.19,my man down here on the ground and it,0,1
554.6,5.909,that but his draw drops and he's like oh,0,1
561.98,8.83,you know he lowers his art and picks he,1,0
565.649,7.05,takes he slowly like takes step back if,1,0
570.81,4.019,you have any desire and it sounded like,1,0
572.699,5.611,I one day you're gonna freeze right,1,0
574.829,5.82,there and explain yourself all right put,1,0
578.31,5.67,your weapon down at one it puts his,1,0
580.649,4.981,sword back excuse me sir thank you for,1,0
583.98,3.63,helping my friend off the ground I say,1,0
585.63,6.319,to him a trying attempting hey and what,1,0
587.61,4.339,happens is he goes like do three of you,1,0
592.339,5.44,like well you know a little R&R,1,0
595.709,5.101,sometimes on the woods is fine even for,1,0
597.779,7.021,us even for us paladin folk this is not,1,0
600.81,7.259,the woods this is the mayor's estate is,1,0
604.8,5.94,tonight not the night for the party come,1,0
608.069,6.811,for the festivity the costume party you,1,0
610.74,7.01,are clearly trespassing grounds you your,1,0
614.88,6.269,I may not judge your personal uh,1,0
617.75,5.709,activities out of the woods but you're,1,0
621.149,5.281,trespassing and you must leave I take,1,0
623.459,5.971,out my scimitar and I hit him straight,0,1
626.43,4.829,up all right well I just tell he sees,0,1
629.43,4.98,you draw a sword and he draws us as well,0,1
631.259,5.911,okay and he strikes at you and he,0,1
634.41,6.659,strikes to hit you he's like yeah,0,1
637.17,6.57,does a uh fourteen hit no all right he,0,1
641.069,4.981,misses is like what are you doing all,0,1
643.74,4.789,right and it's uh now it is your turn,0,1
646.05,8.19,cool so I can with my scimitar,0,1
648.529,9.701,sixteen hits okay great okay cool are,0,1
654.24,8.07,you whistling I use six points of damage,0,1
658.23,6.479,he's ours anyways it's a bradster look,0,1
662.31,5.6,at you go vicious I'm good I'm gonna,0,1
664.709,12.931,charge at him and do my reckless attack,0,1
667.91,14.92,rolling C 525 yeah he was mega hit 21,0,1
677.64,7.77,damaged over oh wow imagine he's pulling,0,1
682.83,4.35,it your sword he's like this in a,0,1
685.41,3.45,striking position and your sword cuts,0,1
687.18,3.42,through his forearm and through his,0,1
688.86,3.539,bicep and through his torso and this,0,1
690.6,6.0,this and you see like at once it's just,0,1
692.399,5.971,eight pieces go to the ground you slice,0,1
696.6,3.77,right through it's not even right I,0,1
698.37,4.909,finished my stroke and a pose and I say,0,1
700.37,5.95,artistic,0,1
703.279,6.461,you have what you see before you a small,1,0
706.32,5.18,path leading up to the front double,1,0
709.74,4.44,doors you also see that this path,1,0
711.5,4.0,despite my unfortunately my poor,1,0
714.18,3.39,rendering in this game area actually,1,0
715.5,5.209,continues around the side of the house,1,0
717.57,5.49,to which these gates help represent,1,0
720.709,4.061,imagine this is a carriage path there's,1,0
723.06,5.899,two wheels that go around the outskirts,1,0
724.77,4.189,of the house there's a freakin go,1,0
730.12,3.6,straight shillings more of a sheep,1,0
731.71,3.9,technically not a go anyways there's a,1,0
733.72,4.74,goat who's staring at you straight up,1,0
735.61,5.43,you see the season you make a line of,1,0
738.46,5.79,sight literally all the way from here he,1,0
741.04,4.56,sees the whole scene happening terrified,1,0
744.25,7.65,you hear the ghost do,1,0
745.6,11.55,oh no he's he approves other than that,1,0
751.9,8.01,you hear the bustling of many bodies,1,0
757.15,3.6,inside this house is this mansion is,1,0
759.91,2.85,what's going on,1,0
760.75,3.87,you also perceive that from the formal,1,0
762.76,3.9,attire that he saw the two people,1,0
764.62,3.63,walking up to the house with perhaps,1,0
766.66,3.89,there is some sort of event tonight,1,0
768.25,4.62,little shindig little shindig of sorts,1,0
770.55,4.57,perceived a little shindig of sorts,1,0
772.87,4.08,we can we have to lure him over here and,1,0
775.12,3.09,we have to straight take him how do you,1,0
776.95,7.29,propose to lure mode I can make bird,1,0
778.21,7.8,sounds maybe he loves buzzards is that a,1,0
784.24,3.6,vert I hear please try to imitate that,1,0
786.01,12.18,bird she just you guys tell me what you,1,0
787.84,12.0,think please go on in the Mesa Kate I,1,0
798.19,3.87,would love to hear those your impression,1,0
799.84,4.8,yeah I'm waiting I am dealing or don't,1,0
802.06,5.96,be as good her depression yeah what is,1,0
804.64,7.23,this eyeliner for this girl is here yeah,1,0
808.02,10.51,huh I try to whistle in I fart a little,1,0
811.87,9.54,bit that's what happens all right let's,1,0
818.53,4.68,not make bird sounds ghostly the gut the,1,0
821.41,3.51,sheen that whatever this animal is over,1,0
823.21,4.44,here it's actively trying to escape,1,0
824.92,4.44,after you make this sound yeah trying to,1,0
827.65,3.27,get out it's trying to get out whatever,1,0
829.36,3.27,you did signaled its he's trying to,1,0
830.92,3.87,escape he's getting all wily now you're,1,0
832.63,5.79,weighing the Paladins close it worked,1,0
834.79,6.06,one just run over there and be like tell,1,0
838.42,4.53,him that his friend the other guard he,1,0
840.85,4.14,got stuck under the tree and we need his,1,0
842.95,3.93,help to lift it up and then if we'll try,1,0
844.99,6.39,to do what we just did the will switch,1,0
846.88,6.71,to balls okay so come up in the distance,1,0
851.38,2.21,here,1,0
854.61,4.48,alright I'm gonna jog up to this venture,1,0
857.56,3.03,who can say you come quick there's,1,0
859.09,6.93,someone up some messing with the mayor's,1,0
860.59,8.1,trees alright alright alright alright,1,0
866.02,4.95,roll you're rolling you're rolling on,0,0
868.69,2.61,that dude you're rolling the deception,0,0
870.97,2.28,here,1,0
871.3,3.03,oh yeah you're on deception say I'm,0,0
873.25,2.61,gonna hide on the other side this wall,0,0
874.33,6.36,I'm gonna also hide all the deception,0,0
875.86,7.53,shit I rolled 17 you yell that and you,0,0
880.69,5.37,see the guard over there's like Oh dig,0,0
883.39,4.53,it out again no and he basically started,0,0
886.06,4.32,booking it over there sick he's like,0,0
887.92,4.29,whoa whoa whoa I'm gonna turn and when I,0,0
890.38,2.97,don't get that's what that was he starts,0,0
892.21,2.54,coming he I'm gonna turn and start you,0,0
893.35,4.02,know running so I kind of lead him oh,0,0
894.75,3.97,really where duck behind this wall yep,0,0
897.37,2.76,all right the I'm chucking along the,0,0
898.72,2.94,wall around the corner towards you know,0,0
900.13,7.5,where the sound was before he's running,0,0
901.66,9.42,fast this way and then brains gonna run,0,0
907.63,5.22,past us yep right here I got a chicken,0,0
911.08,4.41,right wing right when he comes around,0,0
912.85,3.87,the corner I wink at you deep as I,0,0
915.49,3.0,remember I'm gonna run up behind them,0,0
916.72,2.7,and I'm gonna rehand him and put him in,0,0
918.49,5.16,a chokehold,0,1
919.42,7.8,there we go natural 20 natural honey but,0,1
923.65,8.46,see if I can beat that with an atty 2019,0,1
927.22,6.69,ooh rules around the corners we got him,0,1
932.11,6.0,in a horrible I'm gonna squeeze until,0,1
933.91,5.4,there's no more life wait-wait-wait-wait,0,1
938.11,2.729,sweet hopper let me go away you only,0,1
939.31,2.76,another tightness he's gonna he keeps,0,1
940.839,4.831,trying to escape each time you do this,0,1
942.07,8.55,is the guy goes young rips free re-roll,0,1
945.67,6.18,initiative 16 10 8 all right that's the,0,1
950.62,2.76,order go Brandon,0,1
951.85,3.72,so I'm going to turn around with my,0,1
953.38,4.53,sword drop my sword drawn looking at D,0,1
955.57,4.2,like I'm gonna attack D let me pull a,0,1
957.91,3.08,fast one and then I'm just gonna stem I,0,1
959.77,2.87,sort of right,0,1
960.99,5.97,roll it I knew regulars attack yeah both,0,1
962.64,5.52,of them I got a what is that a 20 this,0,1
966.96,2.67,works you have yep,0,1
968.16,4.94,it's okay I can keep doing every time,0,1
969.63,10.73,everything really acts and I hit him for,0,1
973.1,10.09,five ten ten damage he dies instantly,0,1
980.36,6.01,you dealt him almost all of his hit,0,1
983.19,5.1,points I closed his eyes and I said I I,0,1
986.37,4.35,know deep down is not your fault many,0,1
988.29,8.55,but you still had to die oh wow you just,0,1
990.72,8.4,got an inspiration point what what do I,0,1
996.84,3.57,we're all right now Mike my inspiration,0,0
999.12,2.61,point you can only have one at a time,0,0
1000.41,3.09,and you just use it whenever you want to,0,0
1001.73,3.57,give you advantage on any world oh thank,0,0
1003.5,3.12,you you use it up all right I'm gonna do,0,0
1005.3,2.85,a perception check check the regards,0,0
1006.62,6.69,bodies for anything particular made the,0,0
1008.15,11.96,keys anything like that uh I got a 20,0,0
1013.31,7.95,there's a pair of keys okay okay I go,0,0
1020.11,3.67,truck,0,0
1021.26,3.96,what's a truck as if we as if we talked,0,0
1023.78,5.46,to the guards in front and he told us to,0,0
1025.22,5.46,loop around as we go past as I want we,0,0
1029.24,3.089,walk past even know where something is I,0,0
1030.68,4.29,want to glance into the windows this you,0,0
1032.329,5.37,know who cares yeah you look in and what,0,0
1034.97,5.76,you see is you see a talent fill a hole,0,0
1037.699,6.99,filled with people and they're all,0,0
1040.73,5.67,mingling you know notice that here I'm,0,0
1044.689,3.181,glancing in their ass otherwise just,0,0
1046.4,4.77,hoping to catch any glimpse that help us,0,0
1047.87,5.94,and inside this room you see what looks,0,0
1051.17,5.19,to be a two kitchen waitstaff preparing,0,0
1053.81,5.4,food and drinks while guards sit in the,0,0
1056.36,3.54,corner drinking ale watching them are,0,0
1059.21,2.76,you going guys,0,0
1059.9,3.75,yep I'm walking go I'll take the lead,0,0
1061.97,3.06,come down here or yeah you and I look,0,0
1063.65,2.76,like soldiers Nikko looks like a druid,0,0
1065.03,3.42,other spies I walk in the other side,0,0
1066.41,3.96,good I'll just keep hidden as you walk,0,0
1068.45,4.56,past the windows the music fades into,0,0
1070.37,4.29,the background and you no longer can,0,0
1073.01,3.539,hear it walking right back building I,0,0
1074.66,3.869,I'm intending to come around this corner,0,0
1076.549,2.97,as if I'm not like unless I'm gonna,0,0
1078.529,2.13,sneak around I'm coming around and,0,0
1079.519,2.91,walking up and I'm gonna talk to this,0,0
1080.659,2.88,guy so I come around so we can walking,0,0
1082.429,2.49,around place yourself at these are the,0,0
1083.539,3.24,gate that's how far you get when you are,0,0
1084.919,4.83,confident because you stop right there,0,0
1086.779,7.71,you see it's the carriage from earlier,0,0
1089.749,9.66,in the back and you also see that there,0,0
1094.489,7.02,are two men pushing this large case into,0,0
1099.409,4.83,the back here into the back area here,0,0
1101.509,4.65,and they are bringing this inside the,0,0
1104.239,4.29,guard turns to you and he says all right,0,0
1106.159,5.34,what do you do at Inter anything these,0,0
1108.529,7.43,two do fellas are just and here what you,0,0
1111.499,4.46,hear from inside the box sounds like a,0,0
1117.579,3.97,you hear this like rumbling some things,0,0
1120.259,3.3,just like shuffling around inside the,0,0
1121.549,3.96,box recognizing this guy in the guards,0,0
1123.559,3.84,room your glance over light seems we've,0,0
1125.509,4.32,see we both found ourselves to the right,0,0
1127.399,4.47,place oh you found the house--a well,0,0
1129.829,4.71,it's right here yep you got business,0,0
1131.869,4.41,here like me guards out in front told us,0,0
1134.539,3.151,to tell the slipper on back her there,0,0
1136.279,4.05,was a bit of a bit of a VIP entrance,0,0
1137.69,4.459,back here this guard turns to you,0,0
1140.329,4.98,yelling and talking with his merchants,0,0
1142.149,5.14,and he's starting to I you up and no you,0,0
1145.309,3.72,guys can move I'm take no key here,0,0
1147.289,3.51,no geese tells his way around the,0,0
1149.029,5.19,perimeter I'm gonna try to get up to,0,0
1150.799,4.41,here sir all stealth check your rolling,0,0
1154.219,3.78,Estelle checking against four people,0,0
1155.209,3.481,slide 21 I'm just gonna slide up to this,0,0
1157.999,3.02,wall right here,0,0
1158.69,2.329,I'm just gonna,0,0
1162.47,6.069,this merchant turns to use it oh you you,0,0
1167.19,5.51,see that figure moving back in the woods,0,0
1168.539,6.531,in the dock I don't see anything,0,0
1172.7,9.189,deception roll it,0,0
1175.07,8.109,we're gonna go fail guys guys guys he,0,0
1181.889,3.72,can tell you're lying he knows you're,0,0
1183.179,5.22,with someone and and he says hey and,0,0
1185.609,4.77,their guard stops stops steps down and,0,0
1188.399,3.48,starts like approaching you he's like,0,0
1190.379,3.72,you better get off this property right,0,0
1191.879,4.02,now and in he turns to these two guys,0,0
1194.099,3.841,moving bonsly get that damn thing inside,0,0
1195.899,3.75,they start pushing it there they go,0,0
1197.94,3.719,well I say well no trouble no trouble,0,0
1199.649,3.21,meant here I was told by the guards out,0,0
1201.659,3.12,in front that I should be coming back,0,0
1202.859,3.51,here we got people sneaking around in,0,0
1204.779,3.33,the darkness here that's suspicious,0,0
1206.369,7.02,that's what that is and we got someone,0,0
1208.109,8.01,lying about it pretty clearly the guard,0,0
1213.389,4.25,says you will have to leave I'm gonna,0,0
1216.119,4.89,bad walk back around this corner here,0,0
1217.639,5.26,alright does he follow me now okay he,0,0
1221.009,5.67,backs out and continued skirting the,0,0
1222.899,5.941,door wow that was close,0,0
1226.679,4.141,we didn't we let the case go inside,0,0
1228.84,3.269,unfortunately it's like I whispered you,0,0
1230.82,3.299,mind my gut was to kill everybody but I,0,0
1232.109,3.0,remember we said to me back there and I,0,0
1234.119,3.18,said you know what maybe just,0,0
1235.109,3.45,straight-up murder constantly is not you,0,0
1237.299,2.55,know as fast as possible nothing's it,0,0
1238.559,2.7,got savored a little bit right so what,0,0
1239.849,4.231,happens is during this discussion you,0,0
1241.259,7.59,see the guard peak prop open the door,0,0
1244.08,6.719,yell something inside door closes and,0,0
1248.849,3.51,comes back there's no way around the,0,0
1250.799,2.82,scars they were suspicious of you so you,0,0
1252.359,2.94,can't go talk to him I can't be going,0,0
1253.619,3.12,back around here no no key can't go talk,0,0
1255.299,2.73,to him cuz he looks like a druid you've,0,0
1256.739,3.15,good doesn't even do the same thing I,0,0
1258.029,3.03,have a scalable deception I'm horrible,0,0
1259.889,2.191,lying to me all right,0,0
1261.059,4.83,I don't feel like you're both hope you,0,0
1262.08,5.339,guys roll of perception right now 929,0,0
1265.889,5.701,it's 11,0,0
1267.419,7.37,no 10 Niko you see movement figures here,0,0
1271.59,7.6,okay I miss stealth my way back to them,0,0
1274.789,6.511,back toss Niko oh shit another six,0,0
1279.19,4.3,this guy's like there's something out,0,0
1281.3,5.7,there there's something out there,0,0
1283.49,6.6,wait okay can I react yep I'd like to,0,0
1287.0,5.07,turn into a deer okay I'll stay after,0,0
1290.09,6.6,and do it do it so your deer what do you,0,0
1292.07,7.86,do Niko yeah I made some deer noise like,0,0
1296.69,5.13,oh just a deer hmm just the deer Niko,0,0
1299.93,4.11,yeah you turns to the guard he's like it,0,0
1301.82,4.8,was just a dare all right we continue,0,0
1304.04,6.06,this way some deer in the middle of the,0,0
1306.62,5.01,night and you tell us that what do you,0,0
1310.1,6.03,tell us I don't think I can talk what,0,0
1311.63,6.71,I'm an animal actually I can't like look,0,0
1316.13,4.2,at my head like the dredge brother right,0,0
1318.34,4.42,people of it I mean you unfold your,0,0
1320.33,5.7,earring you realize okay I'm gonna walk,0,0
1322.76,5.46,over and pop this okay imma still pop,0,0
1326.03,5.31,that it's all me Paulie all right I'm,0,0
1328.22,6.21,gonna D I'm going over to hop over there,0,0
1331.34,4.65,and lo and behold I got a 19 a guards,0,0
1334.43,3.06,coming around down the carrots tracks,0,0
1335.99,3.57,checking on what's happening over here,0,0
1337.49,5.82,is it deer does he can I see the guard,0,0
1339.56,5.46,yeah can you see me yapping I go hmm run,0,0
1343.31,4.59,this way like and off into the woods,0,0
1345.02,5.64,he looks into the woods and he thinks,0,0
1347.9,7.62,he's standing there thinking that,0,0
1350.66,8.31,shifting I'm circling around coming on,0,0
1355.52,5.37,back until you stop me then wheel back,0,0
1358.97,4.14,to here I'm gonna start walking this way,0,0
1360.89,6.51,now he turns around he starts walking,0,0
1363.11,4.92,back how we gonna do this guys this is a,0,0
1367.4,2.28,little weird,0,0
1368.03,3.72,I'm not do I don't do well with,0,0
1369.68,5.31,long-range if I don't instantly kill him,0,0
1371.75,4.5,with Ashe one shot I'm a perceived to m9,0,0
1374.99,3.99,um,0,0
1376.25,4.11,he looks pretty bulked up he's he's,0,0
1378.98,2.73,wearing full plate armor to give you a,0,0
1380.36,3.57,better sense the guards you guys killed,0,0
1381.71,5.73,out front they were very lightly armored,0,0
1383.93,5.79,guards who were in more formal attire,0,0
1387.44,4.8,because this is kind of a forward-facing,0,0
1389.72,4.83,part of the building in the back here,0,0
1392.24,5.61,clearly some sort of business happens,0,0
1394.55,6.03,here this guy is jacked up and ready to,0,0
1397.85,3.96,keep everyone out of the building and he,0,0
1400.58,3.45,has exactly what you see he has a,0,0
1401.81,3.38,straight upgrade axe in his hand in Cola,0,0
1404.03,3.139,fight armor,0,0
1405.19,3.63,okay as a deer I'm gonna go up to that,0,0
1407.169,4.35,wall I'm just gonna like actually stick,0,0
1408.82,5.069,my head over and like smell the back of,0,0
1411.519,2.701,that carriage the carriage do you lick,0,0
1413.889,2.701,it,0,0
1414.22,4.769,sure yeah I wouldn't you know I'm trying,0,0
1416.59,6.209,to be convincing like check it out I,0,0
1418.989,8.52,look at the guy I can smell the air yeah,0,0
1422.799,9.18,as a red 17 what you smell is the scent,0,0
1427.509,7.38,of a wild beast that you have never,0,0
1431.979,5.101,smelled before as a human interesting,0,0
1434.889,5.581,you can basically the guy in the carts,0,0
1437.08,5.339,like hey get out it okay see it's got,0,0
1440.47,4.98,dinged ears you just like bang your,0,0
1442.419,6.39,antlers this wall you get him over here,0,0
1445.45,7.589,okay we go do that you know do something,0,0
1448.809,6.031,crazy like i lure back here I proceeded,0,0
1453.039,3.21,to Wow,0,0
1454.84,5.37,you hear the merchants groan is it are,0,0
1456.249,5.341,you all right and you you're a rock you,0,0
1460.21,5.069,hear a rock hit and hit the ground near,0,0
1461.59,5.159,body alright I ignore it cuz I'm not an,0,0
1465.279,3.75,actual deer I'm actually a human being,0,0
1466.749,4.711,the merchant gets off and goes over,0,0
1469.029,3.691,talks to the guard like I could do the,0,0
1471.46,5.519,little said I'm ding to your problem you,0,0
1472.72,5.819,got around here the guard like I'm not,0,0
1476.979,3.841,gonna do business being fools anymore,0,0
1478.539,6.651,all right deal blocks around the corner,0,0
1480.82,7.439,Oh back up steer what he says there,0,0
